
epoch:1  D_loss:tensor(0.5083, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0517, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:41  D_loss:tensor(0.4627, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0262, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:42  D_loss:tensor(0.8093, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0463, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:43  D_loss:tensor(0.8184, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0478, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:44  D_loss:tensor(0.4779, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0628, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:45  D_loss:tensor(0.4369, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0376, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:46  D_loss:tensor(0.4023, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0546, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:47  D_loss:tensor(0.5755, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0565, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:48  D_loss:tensor(0.4881, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0340, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:49  D_loss:tensor(0.5274, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0559, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:50  D_loss:tensor(0.5143, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0249, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:51  D_loss:tensor(0.4363, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0599, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:52  D_loss:tensor(0.5815, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0359, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:53  D_loss:tensor(0.6152, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0377, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:54  D_loss:tensor(0.7449, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0612, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:55  D_loss:tensor(0.6534, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0489, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:56  D_loss:tensor(0.4092, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0662, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:57  D_loss:tensor(0.4887, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0609, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:58  D_loss:tensor(0.5207, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0682, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:59  D_loss:tensor(0.5136, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0376, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:60  D_loss:tensor(0.7776, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0342, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:61  D_loss:tensor(0.6332, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0479, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:62  D_loss:tensor(0.4312, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0525, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:63  D_loss:tensor(0.5986, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0276, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:64  D_loss:tensor(0.6175, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0487, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:65  D_loss:tensor(0.6500, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0498, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:66  D_loss:tensor(0.3799, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0764, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:67  D_loss:tensor(0.5226, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0596, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:68  D_loss:tensor(0.9057, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0583, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:69  D_loss:tensor(0.5348, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0529, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:70  D_loss:tensor(0.4663, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0525, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:71  D_loss:tensor(0.5636, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0370, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:72  D_loss:tensor(0.6438, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0327, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:73  D_loss:tensor(1.0321, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0504, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:74  D_loss:tensor(0.4186, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0610, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:75  D_loss:tensor(0.5648, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0370, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:76  D_loss:tensor(0.4819, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0288, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:77  D_loss:tensor(0.5092, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0562, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:78  D_loss:tensor(0.7542, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0580, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:79  D_loss:tensor(0.4926, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0400, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:80  D_loss:tensor(0.5009, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0424, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:81  D_loss:tensor(0.5291, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0486, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:82  D_loss:tensor(0.4946, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0344, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:83  D_loss:tensor(0.5232, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0652, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:84  D_loss:tensor(0.5687, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0562, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:85  D_loss:tensor(0.5268, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0508, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:86  D_loss:tensor(0.7030, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0380, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:87  D_loss:tensor(0.5700, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0591, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:88  D_loss:tensor(0.5913, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0520, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:89  D_loss:tensor(0.5579, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0591, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:90  D_loss:tensor(0.5262, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0370, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:91  D_loss:tensor(0.5373, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0231, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:92  D_loss:tensor(0.5176, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0433, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:93  D_loss:tensor(0.6942, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0700, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:94  D_loss:tensor(0.5929, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0347, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:95  D_loss:tensor(0.5284, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0436, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:96  D_loss:tensor(0.5102, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0342, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:97  D_loss:tensor(0.4904, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0749, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:98  D_loss:tensor(0.6868, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0374, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:99  D_loss:tensor(0.5197, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0511, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:100  D_loss:tensor(0.7946, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0352, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:101  D_loss:tensor(0.4892, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0483, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:102  D_loss:tensor(0.7768, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0294, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:103  D_loss:tensor(0.6503, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0387, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:104  D_loss:tensor(0.4418, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0502, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:105  D_loss:tensor(0.5170, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0363, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:106  D_loss:tensor(0.5698, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0439, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:107  D_loss:tensor(0.4774, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0483, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:108  D_loss:tensor(0.7048, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0451, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:109  D_loss:tensor(0.5599, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0243, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:110  D_loss:tensor(0.5711, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0503, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:111  D_loss:tensor(0.5670, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0505, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:112  D_loss:tensor(0.4703, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0644, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:113  D_loss:tensor(0.5644, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0509, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:114  D_loss:tensor(0.5421, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0354, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:115  D_loss:tensor(0.6755, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0560, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:116  D_loss:tensor(0.7271, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0747, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:117  D_loss:tensor(0.5891, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0703, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:118  D_loss:tensor(0.4528, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0628, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:119  D_loss:tensor(0.4210, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0879, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:120  D_loss:tensor(0.4813, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0438, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:121  D_loss:tensor(0.4680, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0390, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:122  D_loss:tensor(0.4317, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0260, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:123  D_loss:tensor(0.5723, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0323, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:124  D_loss:tensor(0.5202, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0595, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:125  D_loss:tensor(0.4236, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0412, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:126  D_loss:tensor(0.5931, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0554, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:127  D_loss:tensor(0.5998, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0571, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:128  D_loss:tensor(0.6421, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0383, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:129  D_loss:tensor(0.6289, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0476, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:130  D_loss:tensor(0.5828, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0344, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:131  D_loss:tensor(0.4421, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0439, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:132  D_loss:tensor(0.8612, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0654, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:133  D_loss:tensor(0.4355, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0329, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:134  D_loss:tensor(0.4246, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0269, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:135  D_loss:tensor(0.5696, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0495, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:136  D_loss:tensor(0.5127, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0426, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:137  D_loss:tensor(0.5499, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0503, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:138  D_loss:tensor(0.5276, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0582, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:139  D_loss:tensor(0.9673, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0573, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:140  D_loss:tensor(0.7479, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0257, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:141  D_loss:tensor(0.7238, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0305, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:142  D_loss:tensor(0.4410, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0512, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:143  D_loss:tensor(0.5805, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0603, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:144  D_loss:tensor(0.8122, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0497, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:145  D_loss:tensor(0.5844, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0299, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:146  D_loss:tensor(0.4815, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0590, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:147  D_loss:tensor(0.3966, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0518, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:148  D_loss:tensor(0.5494, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0472, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:149  D_loss:tensor(0.6177, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0226, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:150  D_loss:tensor(0.5194, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0199, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:151  D_loss:tensor(0.7629, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0351, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:152  D_loss:tensor(0.7528, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0658, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:153  D_loss:tensor(0.5002, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0253, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:154  D_loss:tensor(0.5659, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0342, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:155  D_loss:tensor(0.6132, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0373, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:156  D_loss:tensor(0.6244, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0401, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:157  D_loss:tensor(0.5325, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0364, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:158  D_loss:tensor(0.5736, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0730, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:159  D_loss:tensor(0.5240, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0733, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:160  D_loss:tensor(0.4442, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0214, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:161  D_loss:tensor(0.4060, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0509, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:162  D_loss:tensor(0.7074, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0469, device='cuda:0', grad_fn=<L1LossBackward0>)
epoch:163  D_loss:tensor(0.7358, device='cuda:0', grad_fn=<MulBackward0>)  rec_loss:tensor(0.0496, device='cuda:0', grad_fn=<L1LossBackward0>)
